postcode,long,lat
3000,144.956776,-37.817403000000006
3001,144.956776,-37.817403000000006
3002,144.98220700000002,-37.818517
3003,144.949592,-37.810871
3004,144.97016100000002,-37.844246000000005
3005,144.950858,-37.824608000000005
3006,144.9520744,-37.82528675
3008,144.948039,-37.814719000000004
3010,144.961351,-37.796152
3011,144.907953,-37.807101
3012,144.861162,-37.807134999999995
3013,144.888686,-37.814183
3015,144.880556,-37.838242
3016,144.888461,-37.863743
3018,144.812736,-37.86172
3019,144.85401399999998,-37.784683
3020,144.829945,-37.777204
3021,144.796693,-37.743361
3022,144.79396100000002,-37.795937
3023,144.77064099999998,-37.78272
3024,144.649936,-37.75045631
3025,144.839704,-37.835562
3026,144.774986,-37.829923
3027,144.754147,-37.932419
3028,144.777165,-37.875066
3029,144.70583100000002,-37.837165
3030,144.64209,-37.91624
3031,144.923403,-37.79119
3032,144.897221,-37.774485999999996
3033,144.85763799999998,-37.74107
3034,144.86194,-37.761235
3036,144.82246,-37.705324
3037,144.780474,-37.715579
3038,144.766873,-37.700454
3039,144.922995,-37.766184
3040,144.902556,-37.751845
3041,144.9011039,-37.72674618
3042,144.866305,-37.727529
3043,144.88836799999999,-37.691916
3044,144.93635600000002,-37.731138
3045,144.836195,-37.674739
3046,144.927968,-37.706578
3047,144.930247,-37.681105
3048,144.923609,-37.653917
3049,144.88849199999999,-37.673182000000004
3050,144.95458100000002,-37.800323999999996
3051,144.94355900000002,-37.8006
3052,144.948903,-37.788996000000004
3053,144.966112,-37.803569
3054,144.96724,-37.786971
3055,144.942222,-37.763584
3056,144.96010800000002,-37.766292
3057,144.97728,-37.770012
3058,144.964524,-37.739901
3059,144.879626,-37.639887
3060,144.967874,-37.707326
3061,144.956763,-37.666265
3062,144.932557,-37.632985999999995
3063,144.85608200000001,-37.595015000000004
3064,144.942199,-37.546521999999996
3065,144.977795,-37.802608
3066,144.986906,-37.804846000000005
3067,144.998203,-37.803515000000004
3068,144.98622,-37.790974
3070,144.999745,-37.774064
3071,145.00700600000002,-37.759426
3072,145.005702,-37.742470000000004
3073,145.005955,-37.712474
3074,145.006644,-37.684684000000004
3075,145.002679,-37.66607
3076,145.02213700000001,-37.643598
3078,145.025853,-37.778298
3079,145.048573,-37.772675
3081,145.046401,-37.743008
3082,145.065658,-37.664858
3083,145.056223,-37.701346
3084,145.082685,-37.744406
3085,145.06988,-37.724398
3086,145.04701200000002,-37.721328
3087,145.082426,-37.711787
3088,145.108339,-37.700175
3089,145.15036899999998,-37.667713
3090,145.107802,-37.668408
3091,145.136688,-37.637478
3093,145.115208,-37.73919
3094,145.124727,-37.719759
3095,145.158579,-37.713299
3096,145.185826,-37.670851
3097,145.22420400000001,-37.695254
3099,145.192854,-37.592101
3101,145.036575,-37.807396999999995
3102,145.05219,-37.793805
3103,145.074116,-37.811738
3104,145.08171399999998,-37.793695
3105,145.08480600000001,-37.772477
3106,145.142675,-37.758334999999995
3107,145.110677,-37.765225
3108,145.125797,-37.786429
3109,145.161649,-37.784786
3111,145.18633400000002,-37.794053999999996
3113,145.204689,-37.752123
3114,145.212599,-37.778595
3115,145.26758600000002,-37.736734000000006
3116,145.313086,-37.737629
3121,145.00178799999998,-37.823303
3122,145.03060200000002,-37.822725
3123,145.04941499999998,-37.829752
3124,145.06819099999998,-37.840866999999996
3125,145.101,-37.851304999999996
3126,145.075748,-37.827203000000004
3127,145.097236,-37.825173
3128,145.122393,-37.828866
3129,145.12508400000002,-37.806965000000005
3130,145.149653,-37.81805
3131,145.174489,-37.817797999999996
3132,145.196686,-37.819221999999996
3133,145.192303,-37.848786
3134,145.257929,-37.823058
3135,145.248209,-37.819594
3136,145.282396,-37.779876
3137,145.313346,-37.819364
3138,145.322794,-37.78391
3139,145.53266599999998,-37.814506
3140,145.36318500000002,-37.759153999999995
3141,144.991264,-37.840678999999994
3142,145.017732,-37.84411
3143,145.01939299999998,-37.858918
3144,145.034127,-37.857442999999996
3145,145.049328,-37.873557
3146,145.05783300000002,-37.857116
3147,145.09294599999998,-37.867864000000004
3148,145.090149,-37.882562
3149,145.128118,-37.880748
3150,145.168834,-37.914383
3151,145.151119,-37.85523
3152,145.22169499999998,-37.864951
3153,145.270141,-37.845116
3154,145.31784,-37.856009
3155,145.284418,-37.861799
3156,145.292895,-37.917932
3158,145.324468,-37.910077
3159,145.3892,-37.921894
3160,145.350821,-37.935097
3161,145.019929,-37.873733
3162,145.023394,-37.892139
3163,145.05723700000001,-37.896497
3164,145.23738,-38.02243
3165,145.059426,-37.922369
3166,145.089719,-37.902805
3167,145.087614,-37.923345
3168,145.12665,-37.91342
